dataset	variant	seed	rank	R@10	MRR@10	gamma_over_mu	correction_ratio	jsonl	checkpoint	checkpoint_MB
scifact	full r4	2	4	0.6967	0.6063	0.0078	0.0766	paper_results/retrieval_ablation/logs/20260602-205844_bertstyle_retr_scifact_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-205844_bertstyle_retr_scifact_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	50.9358
fiqa	no-global r32	3	32	0.2207	0.0926	0.0000	0.0000	paper_results/retrieval_ablation/logs/20260602-210146_bertstyle_retr_fiqa_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-210146_bertstyle_retr_fiqa_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	52.6867
fiqa	fixed mu/gamma r32	3	32	0.2485	0.1126	0.0078	0.2120	paper_results/retrieval_ablation/logs/20260602-212059_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_fixedscale.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-212059_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_fixedscale.pt	52.6868
fiqa	no U RMS norm r32	3	32	0.2269	0.1015	0.0085	0.2007	paper_results/retrieval_ablation/logs/20260602-214255_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_nou.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-214255_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_nou.pt	52.6860
fiqa	full r8	3	8	0.2083	0.0977	0.0099	0.1034	paper_results/retrieval_ablation/logs/20260602-220358_bertstyle_retr_fiqa_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-220358_bertstyle_retr_fiqa_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	51.1855
fiqa	full r4	3	4	0.2068	0.1019	0.0110	0.0755	paper_results/retrieval_ablation/logs/20260602-222306_bertstyle_retr_fiqa_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-222306_bertstyle_retr_fiqa_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	50.9355
scifact	no-global r32	3	32	0.6667	0.5759	0.0000	0.0000	paper_results/retrieval_ablation/logs/20260602-224209_bertstyle_retr_scifact_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-224209_bertstyle_retr_scifact_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	52.6870
scifact	fixed mu/gamma r32	3	32	0.7067	0.6148	0.0078	0.2603	paper_results/retrieval_ablation/logs/20260602-224506_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_fixedscale.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-224506_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_fixedscale.pt	52.6871
scifact	no U RMS norm r32	3	32	0.6933	0.6005	0.0078	0.0490	paper_results/retrieval_ablation/logs/20260602-224817_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_nou.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-224817_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3_nou.pt	52.6864
scifact	full r8	3	8	0.6867	0.6044	0.0078	0.1148	paper_results/retrieval_ablation/logs/20260602-225124_bertstyle_retr_scifact_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-225124_bertstyle_retr_scifact_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	51.1858
scifact	full r4	3	4	0.7100	0.6267	0.0078	0.0761	paper_results/retrieval_ablation/logs/20260602-225421_bertstyle_retr_scifact_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-225421_bertstyle_retr_scifact_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	50.9358
