dataset	model	rank	seed	max_doc_len	pooling	R@10_best	MRR@10_best	jsonl	checkpoint	checkpoint_MB
nfcorpus	nystrom	16	1	512	mean	0.5697	0.4084	paper_results/retrieval_main/logs/20260531-195326_bertstyle_retr_nfcorpus_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-195326_bertstyle_retr_nfcorpus_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	54.75
scifact	nystrom	16	1	512	mean	0.7400	0.6242	paper_results/retrieval_main/logs/20260531-204028_bertstyle_retr_scifact_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-204028_bertstyle_retr_scifact_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	54.75
fiqa	mha	16	2	512	mean	0.1991	0.0927	paper_results/retrieval_main/logs/20260601-141301_bertstyle_retr_fiqa_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-141301_bertstyle_retr_fiqa_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	54.72
fiqa	nystrom	16	2	512	mean	0.2469	0.1164	paper_results/retrieval_main/logs/20260601-143336_bertstyle_retr_fiqa_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-143336_bertstyle_retr_fiqa_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	54.75
fiqa	lsso	16	2	512	mean	0.2238	0.1185	paper_results/retrieval_main/logs/20260601-150802_bertstyle_retr_fiqa_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-150802_bertstyle_retr_fiqa_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	51.69
fiqa	lsso	32	2	512	mean	0.2176	0.1083	paper_results/retrieval_main/logs/20260601-152758_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-152758_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	52.69
nfcorpus	mha	16	2	512	mean	0.5263	0.3625	paper_results/retrieval_main/logs/20260601-155032_bertstyle_retr_nfcorpus_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-155032_bertstyle_retr_nfcorpus_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	54.72
nfcorpus	nystrom	16	2	512	mean	0.5913	0.4395	paper_results/retrieval_main/logs/20260601-162110_bertstyle_retr_nfcorpus_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-162110_bertstyle_retr_nfcorpus_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	54.75
nfcorpus	lsso	16	2	512	mean	0.5820	0.4100	paper_results/retrieval_main/logs/20260601-170804_bertstyle_retr_nfcorpus_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-170804_bertstyle_retr_nfcorpus_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	51.69
nfcorpus	lsso	32	2	512	mean	0.5820	0.4237	paper_results/retrieval_main/logs/20260601-173424_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-173424_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	52.69
scifact	mha	16	2	512	mean	0.6633	0.5790	paper_results/retrieval_main/logs/20260601-180336_bertstyle_retr_scifact_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-180336_bertstyle_retr_scifact_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	54.72
scifact	nystrom	16	2	512	mean	0.7133	0.6137	paper_results/retrieval_main/logs/20260601-180641_bertstyle_retr_scifact_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-180641_bertstyle_retr_scifact_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	54.75
scifact	lsso	16	2	512	mean	0.7067	0.6010	paper_results/retrieval_main/logs/20260601-181044_bertstyle_retr_scifact_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-181044_bertstyle_retr_scifact_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	51.69
scifact	lsso	32	2	512	mean	0.6967	0.6013	paper_results/retrieval_main/logs/20260601-181345_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_main/checkpoints/20260601-181345_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	52.69
fiqa	mha	16	3	512	mean	0.2207	0.0938	paper_results/retrieval_main/logs/20260601-181704_bertstyle_retr_fiqa_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-181704_bertstyle_retr_fiqa_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	54.72
fiqa	nystrom	16	3	512	mean	0.2392	0.1118	paper_results/retrieval_main/logs/20260601-183642_bertstyle_retr_fiqa_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-183642_bertstyle_retr_fiqa_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	54.75
fiqa	lsso	16	3	512	mean	0.2145	0.1064	paper_results/retrieval_main/logs/20260601-190950_bertstyle_retr_fiqa_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-190950_bertstyle_retr_fiqa_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	51.69
fiqa	lsso	32	3	512	mean	0.2500	0.1105	paper_results/retrieval_main/logs/20260601-192953_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-192953_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	52.69
nfcorpus	mha	16	3	512	mean	0.5635	0.3914	paper_results/retrieval_main/logs/20260601-195226_bertstyle_retr_nfcorpus_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-195226_bertstyle_retr_nfcorpus_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	54.72
nfcorpus	nystrom	16	3	512	mean	0.5913	0.4200	paper_results/retrieval_main/logs/20260601-202407_bertstyle_retr_nfcorpus_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-202407_bertstyle_retr_nfcorpus_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	54.75
nfcorpus	lsso	16	3	512	mean	0.5573	0.4010	paper_results/retrieval_main/logs/20260601-211203_bertstyle_retr_nfcorpus_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-211203_bertstyle_retr_nfcorpus_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	51.69
nfcorpus	lsso	32	3	512	mean	0.5882	0.4462	paper_results/retrieval_main/logs/20260601-213955_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-213955_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	52.69
scifact	mha	16	3	512	mean	0.6733	0.5841	paper_results/retrieval_main/logs/20260601-221119_bertstyle_retr_scifact_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-221119_bertstyle_retr_scifact_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	54.72
scifact	nystrom	16	3	512	mean	0.7267	0.6275	paper_results/retrieval_main/logs/20260601-221430_bertstyle_retr_scifact_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-221430_bertstyle_retr_scifact_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	54.75
scifact	lsso	16	3	512	mean	0.7100	0.6121	paper_results/retrieval_main/logs/20260601-221847_bertstyle_retr_scifact_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-221847_bertstyle_retr_scifact_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	51.69
scifact	lsso	32	3	512	mean	0.7100	0.6152	paper_results/retrieval_main/logs/20260601-222154_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.jsonl	paper_results/retrieval_main/checkpoints/20260601-222154_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s3.pt	52.69
